Country,Species,Coffee_Growth,Mean_Altitude
Brazil,Arabica,10007.5,812.828125
Columbia,Arabica,14319.134559815953,1265.8312883435583
Taiwan,Arabica,571.7066666666667,680.6533333333333
Mexico,Arabica,608.8612765957447,1161.1191489361702
Gautenemala,Arabica,11970.70155,3784.2514285714287
Honduras,Arabica,110566.07843137255,1425.4117647058824
US_Hawaii,Arabica,97.66131122448981,0.0
Ethiopia,Arabica,396384.375,1641.109375
Costa_Rica,Arabica,340103.3535904255,1309.6382978723404
India,Robusta,6209.2307692307695,1081.7692307692307
